round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Third,Fabrice Santoro,6-3 6-2 5-7 1-6 6-4,2006,m,Fabrice Santoro,Gaston Gaudio,FRA,ARG,55%,60%,9,1,5,3,67%,63%,0.43,0.47,194,202,170,180,141,141,0.62,0.28,0.43,0.44,156,152,62,73,19,37,63%,73%
Third,Ivan Ljubicic,7-5 7-6(5) 6-0,2006,m,Ivan Ljubicic,Feliciano Lopez,CRO,ESP,55%,56%,10,12,4,8,83%,70%,0.53,0.38,225,218,197,199,164,164,0.29,0.2,0.44,0.30,119,94,38,32,23,41,60%,57%
Second,Nathan Healey,6-4 6-7(4) 6-3 6-4,2006,m,Nathan Healey,Amer Delic,AUS,BIH,60%,55%,10,13,6,6,74%,82%,0.63,0.54,215,222,173,188,159,159,0.43,0,0.30,0.30,134,121,35,41,31,47,63%,57%
Second,Kristof Vliegen,3-6 6-2 7-6(4) 7-5,2006,m,Kristof Vliegen,Fernando Verdasco,BEL,ESP,67%,60%,10,9,2,20,68%,67%,0.41,0.42,,,,,,,0.32,0.38,0.43,0.41,152,149,34,54,51,69,55%,70%
Second,Juan Ignacio Chela,6-4 6-4 6-7(8) 6-2,2006,m,Juan Ignacio Chela,Lleyton Hewitt,ARG,AUS,64%,55%,6,8,0,3,63%,65%,0.64,0.43,197,205,183,170,139,139,0.38,0.31,0.45,0.36,147,128,49,63,34,62,62%,72%
Second,Igor Andreev,3-6 6-3 7-6(4) 2-6 6-2,2006,m,Igor Andreev,Raemon Sluiter,RUS,NED,68%,58%,9,11,4,3,70%,68%,0.52,0.58,,,,,,,0.56,0.45,0.37,0.36,145,140,45,35,48,49,56%,76%
Second,Peter Luczak,6-7(4) 6-4 6-1 6-7(1) 6-1,2006,m,Peter Luczak,Olivier Rochus,AUS,BEL,69%,59%,22,9,3,12,75%,73%,0.5,0.44,207,180,176,160,136,136,0.5,0.5,0.39,0.33,155,135,60,44,44,46,55%,77%
Second,Luis Horna,6-3 6-2 6-1,2006,m,Luis Horna,Bjorn Phau,PER,GER,71%,52%,8,2,2,6,83%,55%,0.47,0.33,,,,,,,0.7,0.5,0.56,0.28,82,46,23,8,18,35,89%,40%
Second,Tommy Haas,6-0 6-1 6-2,2006,m,Tommy Haas,Paul Goldstein,GER,USA,54%,60%,2,3,0,3,94%,66%,0.65,0.2,205,199,189,175,141,141,0.78,0,0.52,0.19,79,41,30,13,20,27,83%,33%
Second,Nicolas Kiefer,4-6 6-1 6-4 6-1,2006,m,Nicolas Kiefer,Boris Pashanski,GER,SRB,51%,55%,15,4,4,6,79%,58%,0.48,0.4,215,197,191,170,143,143,0.56,0.44,0.50,0.36,125,95,31,30,34,52,67%,66%
Second,Guillermo Coria,7-6(10) 6-4 6-3,2006,m,Guillermo Coria,Federico Luzzi,ARG,ITA,78%,56%,1,5,9,6,68%,65%,0.46,0.43,194,210,144,183,141,141,0.28,0.3,0.45,0.37,132,114,47,45,33,49,63%,56%
Second,Dominik Hrbaty,6-2 7-5 5-7 4-6 10-8,2006,m,Dominik Hrbaty,Dick Norman,SVK,BEL,59%,57%,11,20,12,17,80%,67%,0.48,0.45,,,,,,,0.26,0.55,0.43,0.33,203,180,69,70,43,78,71%,62%
Second,Sebastien Grosjean,6-4 6-3 6-3,2006,m,Sebastien Grosjean,Juan Monaco,FRA,ARG,45%,61%,3,2,1,4,87%,49%,0.49,0.62,213,209,191,188,148,148,0.86,0.33,0.46,0.34,90,69,17,15,26,37,77%,57%
Second,Max Mirnyi,7-5 6-3 4-6 7-6(8),2006,m,Max Mirnyi,Davide Sanguinetti,BLR,ITA,66%,59%,7,6,4,5,71%,67%,0.63,0.59,,,,,,,0.33,0.29,0.36,0.32,152,140,64,61,36,24,60%,63%
