round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
First,Evgeny Korolev,7-5 6-2 6-0,2008,m,Evgeny Korolev,Marcel Granollers,KAZ,ESP,60%,58%,3,1,1,7,79%,45%,0.58,0.55,,,,,,,0.78,0.11,0.51,0.29,92,59,,,,,,
First,Jo-Wilfried Tsonga,7-5 6-4 0-6 7-6(5),2008,m,Jo-Wilfried Tsonga,Andy Murray,FRA,GBR,59%,58%,7,7,6,3,71%,68%,0.43,0.49,214,212,190,185,135,135,0.31,0.5,0.40,0.40,135,137,57,38,61,27,67%,56%
First,Paul-Henri Mathieu,6-1 7-6(4) 6-2,2008,m,Paul-Henri Mathieu,Victor Hanescu,FRA,ROU,60%,72%,8,1,7,2,85%,64%,0.51,0.31,,,,,,,0.26,0.17,0.45,0.28,109,81,,,,,,
First,Agustin Calleri,6-4 6-7(6) 6-3 6-4,2008,m,Agustin Calleri,Luis Horna,ARG,PER,50%,60%,16,14,4,3,77%,80%,0.68,0.47,,,,,,,0.38,0,0.32,0.27,133,115,,,,,,
First,Rainer Schuettler,6-4 6-2 6-7(3) 6-4,2008,m,Rainer Schuettler,Arnaud Clement,GER,FRA,66%,63%,4,3,5,4,61%,63%,0.69,0.47,199,200,167,177,147,147,0.47,0.27,0.43,0.36,140,126,30,27,37,51,79%,53%
First,Kristof Vliegen,6-0 6-1 7-6(3),2008,m,Kristof Vliegen,Olivier Patience,BEL,FRA,61%,74%,9,4,1,2,78%,52%,0.69,0.42,,,,,,,0.5,0.25,0.49,0.25,103,65,,,,,,
First,Sam Warburg,2-6 6-2 6-3 2-6 6-4,2008,m,Sam Warburg,Juan-Pablo Brzezicki,USA,ARG,70%,67%,5,7,4,4,60%,62%,0.59,0.46,,,,,,,0.44,0.44,0.42,0.40,143,135,,,,,,
First,Michael Berrer,6-7(5) 7-6(4) 6-3 7-6(5),2008,m,Michael Berrer,Donald Young,GER,USA,68%,61%,7,4,10,8,78%,64%,0.47,0.51,211,203,187,164,136,136,0.33,0.5,0.41,0.32,172,152,38,49,53,67,65%,63%
First,Mikhail Youzhny,6-0 6-2 7-6(3),2008,m,Mikhail Youzhny,Mathieu Montcourt,RUS,FRA,66%,56%,5,1,2,5,74%,60%,0.5,0.36,205,200,185,186,156,156,1,0.11,0.51,0.34,103,72,35,16,33,38,79%,68%
First,Jesse Levine,6-1 7-5 6-1,2008,m,Jesse Levine,Martin Vassallo Arguello,CAN,ARG,65%,60%,3,1,3,5,73%,52%,0.5,0.35,,,,,,,0.73,0.29,0.55,0.35,94,63,,,,,,
First,Richard Gasquet,6-0 6-1 3-6 6-2,2008,m,Richard Gasquet,Nick Lindahl,FRA,AUS,59%,62%,12,7,4,5,78%,64%,0.72,0.36,207,210,188,187,141,141,0.41,0.5,0.47,0.24,111,78,44,29,21,37,60%,62%
First,Igor Andreev,5-7 6-2 7-6(4) 6-3,2008,m,Igor Andreev,Andrei Pavel,RUS,ROU,73%,74%,7,3,2,1,75%,62%,0.65,0.67,,,,,,,0.5,0.25,0.37,0.28,143,124,,,,,,
First,Andy Roddick,6-3 6-4 7-5,2008,m,Andy Roddick,Lukas Dlouhy,USA,CZE,65%,56%,13,7,2,12,76%,67%,0.58,0.41,228,213,199,186,148,148,0.45,0.29,0.44,0.30,101,76,28,33,11,44,67%,74%
First,Paul Capdeville,6-4 7-5 6-4,2008,m,Paul Capdeville,Brydan Klein,CHI,AUS,74%,56%,3,4,1,7,72%,63%,0.52,0.52,194,209,170,185,156,156,0.45,0.5,0.42,0.33,112,98,33,40,18,45,67%,59%
First,Tommy Robredo,4-6 2-6 7-6(2) 6-4 7-5,2008,m,Tommy Robredo,Mischa Zverev,ESP,GER,66%,77%,4,2,7,1,69%,64%,0.42,0.34,197,196,172,173,136,136,0.41,0.42,0.43,0.40,193,183,88,66,38,34,74%,56%
First,Nicolas Almagro,6-4 6-4 3-6 5-7 6-3,2009,m,Nicolas Almagro,Nicolas Massu,ESP,CHI,60%,64%,29,8,4,7,83%,74%,0.58,0.58,208,187,180,171,146,138,0.44,0.43,0.32,0.27,144,132,56,43,37,46,71%,61%
First,Jo-Wilfried Tsonga,6-4 6-4 6-0,2009,m,Jo-Wilfried Tsonga,Juan Monaco,FRA,ARG,47%,64%,5,3,2,2,84%,53%,0.63,0.41,208,195,190,179,150,150,0.7,0.67,0.51,0.27,86,54,27,11,30,27,80%,53%
First,Richard Gasquet,6-7(5) 7-6(3) 6-3 6-4,2009,m,Richard Gasquet,Diego Junqueira,FRA,ARG,58%,65%,16,3,4,5,79%,69%,0.59,0.45,203,174,183,156,151,129,0.28,0.3,0.40,0.29,161,136,76,49,50,44,63%,47%
First,Marcel Granollers,6-4 7-6(3) 4-6 6-0,2009,m,Marcel Granollers,Teimuraz Gabashvili,ESP,RUS,63%,49%,12,6,3,10,73%,69%,0.5,0.43,,,,,NULL,NULL,0.5,0.4,0.43,0.36,130,113,,,,,,
First,Ivo Karlovic,6-3 6-4 6-4,2009,m,Ivo Karlovic,Daniel Gimeno-Traver,CRO,ESP,55%,84%,13,1,2,1,87%,67%,0.65,0.43,,,,,0,0,0.3,0,0.37,0.23,95,74,,,,,,
First,Jurgen Melzer,7-5 6-2 6-1,2009,m,Jurgen Melzer,Kei Nishikori,AUT,JPN,60%,57%,5,3,2,6,83%,51%,0.52,0.45,185,187,166,164,142,143,0.64,0.29,0.52,0.29,103,68,35,16,26,42,63%,24%
First,Chris Guccione,6-4 6-2 6-4,2009,m,Chris Guccione,Nicolas Devilder,AUS,FRA,61%,61%,12,5,4,4,80%,54%,0.59,0.55,214,200,187,158,153,132,0.38,0.5,0.45,0.28,98,74,46,32,21,19,61%,50%
First,Dudi Sela,1-6 6-2 6-4 6-4,2009,m,Dudi Sela,Rainer Schuettler,ISR,GER,72%,79%,2,2,3,3,69%,57%,0.4,0.41,,,,,0,0,0.37,0.5,0.46,0.39,124,110,,,,,,
First,Gilles Simon,6-4 6-1 6-1,2009,m,Gilles Simon,Pablo Andujar,FRA,ESP,48%,57%,8,1,3,5,65%,50%,0.55,0.41,201,188,182,177,132,151,0.47,0.25,0.54,0.40,108,82,42,16,35,39,48%,48%
First,Flavio Cipolla,4-6 6-2 7-6(7) 7-5,2009,m,Flavio Cipolla,Dmitry Tursunov,ITA,RUS,68%,56%,3,11,6,4,65%,68%,0.47,0.49,,,,,0,0,0.38,0.24,0.40,0.40,161,156,,,,,,
First,Guillermo Canas,3-6 7-5 5-7 6-0 7-5,2009,m,Guillermo Canas,Dieter Kindlmann,ARG,GER,51%,64%,21,3,4,6,78%,60%,0.5,0.45,,,,,0,0,0.41,0.5,0.45,0.36,167,142,,,,,,
First,Rafael Nadal,6-0 6-2 6-2,2009,m,Rafael Nadal,Christophe Rochus,ESP,BEL,69%,65%,10,1,2,2,91%,57%,0.75,0.24,198,182,185,167,146,129,0.64,0.33,0.54,0.14,83,40,47,7,18,22,89%,50%
First,Paul-Henri Mathieu,6-2 4-1 ret.,2009,m,Paul-Henri Mathieu,Jarkko Nieminen,FRA,FIN,58%,52%,6,3,2,1,80%,56%,0.67,0.6,,,,,0,0,0.6,0,0.42,0.26,45,29,,,,,,
First,Marcos Baghdatis,6-3 7-6(5) 6-2,2009,m,Marcos Baghdatis,Julien Benneteau,CYP,FRA,43%,61%,7,4,2,7,78%,65%,0.53,0.41,203,195,183,175,145,138,0.38,0.13,0.44,0.37,116,101,48,27,41,35,79%,42%
First,Stanislas Wawrinka,6-1 2-6 7-5 7-6(9),2009,m,Stanislas Wawrinka,Ivo Minar,SUI,CZE,59%,59%,4,7,6,5,68%,66%,0.48,0.42,,,,,0,0,0.7,0.43,0.44,0.40,123,113,,,,,,
First,Xavier Malisse,7-6(8) 6-1 6-1,2009,m,Xavier Malisse,Michael Llodra,BEL,FRA,70%,62%,5,8,2,1,79%,59%,0.52,0.53,,,,,0,0,0.28,0,0.44,0.29,102,81,,,,,,
First,Novak Djokovic,6-2 6-3 7-5,2009,m,Novak Djokovic,Andrea Stoppini,SRB,ITA,68%,54%,8,6,1,6,68%,56%,0.58,0.41,201,196,190,172,161,145,0.39,0.5,0.51,0.35,104,80,34,28,27,36,47%,59%
First,Philipp Kohlschreiber,7-6(6) 6-3 6-2,2009,m,Philipp Kohlschreiber,Sam Querrey,GER,USA,64%,54%,8,10,5,1,77%,73%,0.54,0.63,195,209,172,185,151,154,0.6,0,0.32,0.33,97,88,35,27,38,36,69%,64%
First,Andy Roddick,6-0 6-2 6-2,2009,m,Andy Roddick,Bjorn Rehnquist,USA,SWE,54%,57%,9,0,1,2,76%,51%,0.69,0.32,212,190,190,156,156,129,0.7,0,0.57,0.27,83,45,17,22,10,37,63%,63%
First,Mardy Fish,6-7(3) 6-4 7-5 6-0,2009,m,Mardy Fish,Samuel Groth,USA,AUS,57%,57%,18,15,6,9,89%,66%,0.5,0.45,211,222,185,192,145,164,0.41,1,0.43,0.28,134,104,44,41,28,48,63%,48%
First,Jeremy Chardy,6-4 6-4 6-1,2009,m,Jeremy Chardy,Marcos Daniel,FRA,BRA,62%,55%,18,8,3,9,80%,65%,0.63,0.34,,,,,0,0,0.4,1,0.49,0.27,100,69,,,,,,
First,Guillermo Garcia-Lopez,3-6 7-6(5) 6-2 6-0,2009,m,Guillermo Garcia-Lopez,Agustin Calleri,ESP,ARG,61%,57%,4,10,5,12,64%,66%,0.55,0.33,,,,,0,0,0.56,0.5,0.48,0.40,120,101,,,,,,
First,Tommy Robredo,6-2 7-5 6-1,2009,m,Tommy Robredo,Bobby Reynolds,ESP,USA,69%,59%,10,7,1,5,81%,67%,0.95,0.35,,,,,0,0,0.6,0.42,0.46,0.15,87,50,,,,,,
First,Viktor Troicki,6-3 3-6 6-2 6-4,2009,m,Viktor Troicki,Alberto Martin,SRB,ESP,61%,57%,12,3,1,6,78%,67%,0.55,0.5,,,,,0,0,0.55,0.38,0.41,0.31,110,93,,,,,,
First,Yen-Hsun Lu,6-3 7-5 6-4,2009,m,Yen-Hsun Lu,Thomaz Bellucci,TPE,BRA,55%,58%,9,9,3,5,78%,76%,0.54,0.53,,,,,0,0,1,0.08,0.34,0.33,101,85,,,,,,
First,Bernard Tomic,7-6(5) 1-6 7-6(5) 7-6(6),2009,m,Bernard Tomic,Potito Starace,AUS,ITA,64%,67%,10,13,1,7,66%,75%,0.62,0.45,182,192,169,172,135,151,0.23,0.71,0.35,0.36,151,162,61,47,61,50,62%,66%
First,Fabrice Santoro,6-3 6-2 6-7(5) 6-2,2009,m,Fabrice Santoro,Juan Carlos Ferrero,FRA,ESP,47%,56%,17,2,3,2,84%,69%,0.48,0.39,193,196,177,177,143,146,1,0.43,0.45,0.36,123,101,36,45,24,56,70%,71%
First,Robin Soderling,5-7 6-4 6-4 7-5,2009,m,Robin Soderling,Robert Kendrick,SWE,USA,68%,61%,11,20,2,6,83%,81%,0.72,0.47,,,,,0,0,0.43,0.17,0.32,0.20,132,109,,,,,,
First,Brydan Klein,6-4 6-3 4-6 6-3,2009,m,Brydan Klein,Bjorn Phau,AUS,GER,63%,49%,14,3,6,7,76%,71%,0.41,0.47,216,201,183,185,145,158,0.5,0.57,0.42,0.37,114,105,39,24,46,34,63%,71%
First,Dominik Hrbaty,7-6(4) 2-6 6-2 7-5,2009,m,Dominik Hrbaty,John Isner,SVK,USA,67%,64%,6,39,5,8,74%,77%,0.59,0.4,,,,,0,0,0.33,0.67,0.36,0.31,132,125,,,,,,
First,Marin Cilic,6-3 6-2 6-7(4) 6-3,2009,m,Marin Cilic,Kevin Anderson,CRO,RSA,51%,60%,16,8,8,7,88%,67%,0.48,0.45,,,,,0,0,0.43,0.22,0.42,0.32,134,108,,,,,,
First,Florian Mayer,6-2 6-1 6-2,2009,m,Florian Mayer,Lamine Ouahab,GER,ALG,58%,51%,4,0,1,4,78%,62%,0.66,0.26,,,,,0,0,0.5,1,0.56,0.28,90,51,,,,,,
First,Tomas Berdych,6-4 6-4 6-3,2009,m,Tomas Berdych,Robby Ginepri,CZE,USA,63%,65%,9,6,4,3,82%,64%,0.57,0.39,208,185,195,166,154,135,0.36,0.2,0.45,0.27,105,79,33,27,34,50,71%,55%
First,Evgeny Korolev,6-3 6-1 7-6(7),2009,m,Evgeny Korolev,Carlos Moya,KAZ,ESP,60%,44%,9,10,3,11,90%,80%,0.48,0.33,196,211,183,193,150,156,0.45,0.5,0.46,0.27,102,71,39,28,21,35,71%,80%
First,Marat Safin,6-3 6-3 6-4,2009,m,Marat Safin,Ivan Navarro,RUS,ESP,48%,53%,8,6,5,2,85%,75%,0.59,0.44,211,200,203,190,159,154,0.67,0,0.40,0.29,96,79,36,22,26,21,59%,35%
First,David Ferrer,6-1 6-7(6) 6-1 6-7(4) 6-4,2009,m,David Ferrer,Denis Gremelmayr,ESP,GER,54%,52%,8,5,8,7,72%,66%,0.54,0.43,188,188,171,174,150,138,0.4,0.25,0.45,0.36,192,163,58,58,68,84,67%,66%
First,Brian Dabul,6-1 6-2 6-4,2009,m,Brian Dabul,Philipp Petzschner,ARG,GER,80%,68%,6,5,0,8,77%,65%,0.6,0.19,,,,,0,0,0.6,0.33,0.50,0.26,96,60,,,,,,
First,David Nalbandian,6-1 4-6 6-2 6-3,2009,m,David Nalbandian,Marc Gicquel,ARG,FRA,58%,50%,4,9,8,2,71%,63%,0.47,0.45,188,203,175,193,143,151,0.47,0.2,0.46,0.39,126,107,36,32,43,51,66%,63%
First,Janko Tipsarevic,4-6 6-1 6-3 4-6 6-0,2009,m,Janko Tipsarevic,Oscar Hernandez,SRB,ESP,58%,56%,15,13,4,11,77%,66%,0.45,0.38,,,,,0,0,0.53,0.17,0.43,0.36,163,132,,,,,,
First,Juan Martin Del Potro,6-3 6-4 6-2,2009,m,Juan Martin Del Potro,Mischa Zverev,ARG,GER,65%,61%,7,5,4,2,70%,56%,0.66,0.43,209,187,185,172,150,142,0.43,0.33,0.49,0.31,104,75,49,21,23,25,82%,45%
First,Simone Bolelli,7-6(5) 7-6(3) 7-5,2009,m,Simone Bolelli,Kristof Vliegen,ITA,BEL,54%,53%,3,10,1,2,78%,74%,0.69,0.71,,,,,0,0,0.4,0.5,0.27,0.26,110,103,,,,,,
First,Amer Delic,6-4 3-6 4-6 6-3 6-4,2009,m,Amer Delic,Taylor Dent,BIH,USA,74%,68%,21,8,5,10,76%,80%,0.47,0.48,,,,,0,0,0.43,0.4,0.30,0.31,139,138,,,,,,
First,Roger Federer,6-1 7-6(4) 7-5,2009,m,Roger Federer,Andreas Seppi,SUI,ITA,59%,60%,9,1,5,5,76%,68%,0.57,0.5,203,198,190,182,156,142,0.3,0,0.41,0.33,122,102,45,28,43,45,72%,68%
Second,Guillermo Canas,6-1 4-6 2-6 7-6(2) 6-4,2004,m,Guillermo Canas,Agustin Calleri,ARG,ARG,55%,55%,13,12,7,7,61%,65%,0.49,0.39,196,201,169,176,140,140,0.43,0.6,0.47,0.44,153,149,35,72,29,67,68%,67%
Second,David Nalbandian,6-1 6-0 6-3,2004,m,David Nalbandian,Florian Mayer,ARG,GER,70%,68%,4,1,1,3,71%,48%,0.44,0.37,185,180,168,165,129,129,0.47,0.17,0.55,0.37,104,73,31,18,31,44,81%,63%
Second,Jiri Novak,6-2 7-6(3) 6-4,2004,m,Jiri Novak,Jan Vacek,CZE,CZE,74%,62%,4,3,2,1,73%,61%,0.52,0.48,191,190,172,168,134,134,0.45,0.4,0.44,0.32,111,89,26,38,28,56,61%,53%
Second,Wayne Ferreira,2-6 6-3 6-4 6-4,2004,m,Wayne Ferreira,David Sanchez-Munoz,RSA,ESP,69%,64%,8,1,2,1,66%,66%,0.55,0.49,187,185,162,162,123,123,0.31,0.43,0.40,0.37,125,117,61,21,60,25,63%,50%
Second,Joachim Johansson,7-6(5) 6-3 7-5,2004,m,Joachim Johansson,Alberto Martin,SWE,ESP,63%,63%,10,2,10,5,83%,75%,0.56,0.4,,,,,,,0.5,0.5,0.38,0.27,111,92,53,23,35,18,65%,67%
Second,Andrei Pavel,6-4 6-4 6-2,2004,m,Andrei Pavel,Glenn Weiner,ROU,USA,63%,57%,9,19,2,6,78%,76%,0.47,0.29,,,,,,,0.71,0.2,0.44,0.33,97,76,30,43,10,29,55%,42%
Second,Juan Carlos Ferrero,6-4 7-6(3) 7-5,2004,m,Juan Carlos Ferrero,Filippo Volandri,ESP,ITA,58%,61%,2,2,6,7,73%,63%,0.51,0.45,191,187,175,165,136,136,0.6,0.8,0.44,0.36,115,101,16,30,34,53,67%,79%
Second,Lleyton Hewitt,1-6 6-1 6-4 6-1,2004,m,Lleyton Hewitt,Karol Kucera,AUS,SVK,60%,55%,3,5,3,14,60%,54%,0.54,0.39,191,195,175,178,144,144,0.6,0.56,0.52,0.42,110,90,33,24,34,44,82%,52%
Second,Jurgen Melzer,6-3 6-4 6-3,2004,m,Jurgen Melzer,Galo Blanco,AUT,ESP,62%,59%,11,3,9,5,79%,69%,0.43,0.44,,,,,,,0.5,0,0.41,0.35,108,89,38,28,29,30,63%,59%
Second,Olivier Patience,7-6(2) 6-7(7) 6-3 6-2,2004,m,Olivier Patience,Nikolay Davydenko,FRA,RUS,68%,72%,8,4,2,5,72%,62%,0.5,0.51,,,,,,,0.4,0.33,0.41,0.35,151,133,40,29,57,57,62%,58%
Second,Andy Roddick,6-2 6-2 6-3,2004,m,Andy Roddick,Bohdan Ulihrach,USA,CZE,65%,51%,20,2,2,5,93%,67%,0.61,0.43,225,188,198,174,142,142,0.56,0,0.45,0.18,88,54,34,19,16,30,67%,67%
Second,Robby Ginepri,6-4 6-3 6-3,2004,m,Robby Ginepri,Chris Guccione,USA,AUS,66%,62%,11,11,1,3,89%,78%,0.7,0.37,201,211,176,189,154,154,0.5,0,0.38,0.18,86,61,41,23,9,21,70%,53%
Second,Taylor Dent,3-6 6-4 4-6 7-6(4) 7-5,2004,m,Taylor Dent,Juan Ignacio Chela,USA,ARG,56%,60%,16,3,16,4,62%,64%,0.48,0.46,219,185,188,163,134,134,0.41,0.56,0.43,0.44,173,176,83,53,77,18,63%,76%
Second,Paradorn Srichaphan,6-3 ret.,2004,m,Paradorn Srichaphan,Jerome Golmard,THA,FRA,69%,46%,4,3,0,2,78%,82%,0.42,0.54,201,190,183,172,141,141,1,0,0.33,0.33,34,29,15,5,8,8,83%,67%
Second,James Blake,6-3 7-6(4) 2-6 6-1,2004,m,James Blake,Nicolas Lapentti,USA,ECU,62%,64%,11,10,3,3,73%,70%,0.54,0.5,201,198,177,170,137,137,0.19,0.2,0.37,0.35,129,119,45,39,41,29,57%,66%
Second,Gustavo Kuerten,7-5 6-7(5) 6-4 6-3,2004,m,Gustavo Kuerten,Ivan Ljubicic,BRA,CRO,58%,57%,8,17,1,4,72%,70%,0.53,0.44,196,208,173,184,145,145,0.62,0.63,0.41,0.36,142,127,29,65,31,76,67%,70%
Second,Dominik Hrbaty,6-1 7-5 6-0,2004,m,Dominik Hrbaty,Gaston Gaudio,SVK,ARG,61%,58%,3,1,5,4,79%,51%,0.5,0.29,191,180,174,167,137,137,0.57,0.29,0.58,0.32,91,53,33,15,24,27,58%,69%
Second,Sjeng Schalken,6-3 6-2 5-7 6-1,2004,m,Sjeng Schalken,David Ferrer,NED,ESP,73%,62%,2,0,4,9,69%,53%,0.37,0.42,169,182,155,163,128,128,0.48,0.5,0.51,0.40,132,106,19,36,29,78,60%,62%
Second,Todd Martin,7-6(4) 7-6(4) 7-6(7),2004,m,Todd Martin,Ivo Karlovic,USA,CRO,66%,64%,11,33,3,7,75%,84%,0.68,0.48,,,,,,,0,0,0.29,0.27,131,123,51,71,17,28,72%,52%
Second,Marat Safin,7-6(5) 6-4 4-6 6-4,2004,m,Marat Safin,Jarkko Nieminen,RUS,FIN,61%,67%,23,1,0,2,83%,72%,0.52,0.54,212,195,194,174,131,131,0.33,0.15,0.34,0.29,138,130,58,34,47,34,69%,71%
Second,Andre Agassi,6-0 6-2 6-4,2004,m,Andre Agassi,Tomas Berdych,USA,CZE,73%,60%,7,12,1,3,76%,62%,0.6,0.36,195,208,171,192,158,158,0.75,0,0.49,0.28,87,57,23,27,10,35,43%,67%
Second,Nicolas Escude,6-3 7-6(4) 6-4,2004,m,Nicolas Escude,Robin Soderling,FRA,SWE,71%,58%,17,9,0,5,80%,72%,0.58,0.47,196,204,180,184,150,150,0.38,0,0.39,0.27,107,89,43,36,21,27,73%,59%
Second,Thomas Enqvist,7-5 4-6 6-3 6-4,2004,m,Thomas Enqvist,Karol Beck,SWE,SVK,54%,50%,8,17,10,7,72%,77%,0.49,0.41,204,193,182,174,138,138,0.4,0.36,0.41,0.38,144,134,45,45,65,57,71%,64%
Second,Sebastien Grosjean,6-4 6-3 6-2,2004,m,Sebastien Grosjean,Jan-Michael Gambill,FRA,USA,42%,54%,8,8,3,2,94%,67%,0.6,0.42,201,198,183,179,150,150,0.42,0,0.45,0.26,99,72,38,24,17,27,93%,51%
First,Alex Corretja,6-4 1-6 6-3 6-4,2004,m,Alex Corretja,Martin Verkerk,ESP,NED,59%,56%,4,25,3,9,82%,83%,0.52,0.43,191,214,167,196,168,168,0.43,0.33,0.35,0.30,108,99,21,47,20,51,89%,55%
First,Filippo Volandri,6-3 4-6 6-3 6-4,2004,m,Filippo Volandri,Nicolas Kiefer,ITA,GER,57%,55%,4,10,3,11,63%,71%,0.64,0.47,191,209,165,185,151,151,0.38,0.27,0.39,0.37,135,128,42,30,37,48,74%,64%
First,Todd Reid,6-2 6-3 6-2,2004,m,Todd Reid,Vadim Kutsenko,AUS,UZB,73%,61%,6,2,0,5,87%,58%,0.59,0.42,195,217,167,168,137,137,0.55,1,0.48,0.20,89,54,28,21,17,38,75%,65%
First,Thierry Ascione,7-5 6-1 7-6(3),2004,m,Thierry Ascione,Felix Mantilla,FRA,ESP,66%,61%,9,7,6,8,83%,69%,0.63,0.47,,,,,,,0.27,0.17,0.40,0.24,118,92,40,21,41,39,61%,62%
First,Mario Ancic,6-7(4) 6-4 3-6 6-4 6-3,2004,m,Mario Ancic,Raemon Sluiter,CRO,NED,58%,58%,15,8,4,6,79%,77%,0.65,0.57,,,,,,,0.5,1,0.31,0.27,147,140,57,49,50,49,61%,75%
First,Florian Mayer,7-5 6-4 6-3,2004,m,Florian Mayer,Richard Gasquet,GER,FRA,55%,59%,6,9,0,3,78%,72%,0.74,0.54,,,,,,,0.57,0,0.36,0.24,96,78,36,32,13,34,79%,74%
First,David Nalbandian,6-2 6-1 6-4,2004,m,David Nalbandian,Ricardo Mello,ARG,BRA,64%,69%,8,4,1,3,81%,64%,0.63,0.35,190,180,166,167,140,140,0.71,0,0.45,0.26,84,54,21,13,29,34,71%,58%
First,Hicham Arazi,7-5 2-6 6-0 6-3,2004,m,Hicham Arazi,Olivier Mutis,MAR,FRA,56%,58%,5,5,1,5,74%,68%,0.6,0.45,,,,,,,0.5,0.44,0.41,0.32,109,92,27,31,29,49,50%,51%
First,Andrei Pavel,6-7(2) 6-3 6-2 7-6(2),2004,m,Andrei Pavel,Max Mirnyi,ROU,BLR,72%,57%,9,16,0,8,73%,71%,0.64,0.49,,,,,,,0.23,0,0.38,0.29,159,138,67,51,11,25,69%,53%
First,Radek Stepanek,6-7(3) 3-6 6-2 6-3 6-3,2004,m,Radek Stepanek,Davide Sanguinetti,CZE,ITA,64%,60%,17,6,3,4,78%,65%,0.48,0.58,,,,,,,0.44,0.3,0.38,0.33,158,148,61,46,67,58,57%,53%
First,Jan Vacek,6-2 3-6 6-3 6-4,2004,m,Jan Vacek,Ruben Ramirez-Hidalgo,CZE,ESP,59%,54%,8,4,3,6,73%,75%,0.67,0.41,,,,,,,0.36,0.2,0.40,0.29,121,102,40,19,48,47,71%,65%
First,Jeff Morrison,6-4 6-2 6-4,2004,m,Jeff Morrison,Dennis Van Scheppingen,USA,NED,54%,45%,17,1,3,7,83%,54%,0.54,0.5,,,,,,,0.75,0.67,0.48,0.30,93,66,36,15,26,27,63%,67%
First,Sargis Sargsian,6-2 6-3 6-1,2004,m,Sargis Sargsian,Jonas Bjorkman,ARM,SWE,71%,56%,2,1,0,1,65%,51%,0.64,0.35,,,,,,,0.53,0.33,0.56,0.35,93,61,33,18,19,33,87%,41%
First,Glenn Weiner,7-6(3) 4-6 6-3 3-6 6-4,2004,m,Glenn Weiner,Jeff Salzenstein,USA,USA,57%,63%,34,16,8,8,78%,80%,0.62,0.52,,,,,,,0.43,0.25,0.30,0.29,152,145,76,59,30,28,63%,63%
First,Alberto Martin,3-6 4-6 7-6(3) 6-4 6-2,2004,m,Alberto Martin,Feliciano Lopez,ESP,ESP,69%,56%,4,27,6,17,72%,74%,0.74,0.49,,,,,,,0.15,0.67,0.37,0.27,169,153,43,78,34,83,52%,52%
First,Wayne Ferreira,6-4 3-6 7-6(3) 6-1,2004,m,Wayne Ferreira,Victor Hanescu,RSA,ROU,63%,73%,5,5,0,5,64%,61%,0.71,0.51,,,,,,,0.25,0.67,0.42,0.33,136,121,51,27,35,37,59%,64%
First,Roger Federer,6-3 6-4 6-0,2004,m,Roger Federer,Alex Jr. Bogomolov,SUI,RUS,60%,67%,13,0,3,3,80%,65%,0.74,0.33,200,185,176,170,150,150,0.56,0.5,0.46,0.22,90,59,42,9,25,22,83%,67%
First,Mark Philippoussis,7-6(6) 6-2 7-6(4),2004,m,Mark Philippoussis,Thomas Johansson,AUS,SWE,64%,61%,19,12,4,6,80%,76%,0.53,0.47,214,209,199,180,141,141,0.38,0.33,0.35,0.30,117,104,51,37,27,26,67%,63%
First,Tim Henman,6-2 6-4 6-2,2004,m,Tim Henman,Jean-Rene Lisnard,GBR,MON,58%,45%,2,3,3,6,80%,68%,0.77,0.48,193,193,179,182,138,138,0.5,0,0.43,0.21,89,58,22,24,17,24,75%,47%
First,Juan Carlos Ferrero,6-0 6-1 6-1,2004,m,Juan Carlos Ferrero,Albert Montanes,ESP,ESP,58%,59%,7,0,0,5,84%,43%,0.52,0.31,196,182,176,171,146,146,0.45,1,0.62,0.29,83,43,19,8,15,32,67%,57%
First,Agustin Calleri,6-1 3-6 6-3 7-5,2004,m,Agustin Calleri,Christophe Rochus,ARG,BEL,53%,65%,17,5,7,4,82%,68%,0.56,0.38,,,,,,,0.45,0.22,0.42,0.30,129,100,52,25,53,28,57%,71%
First,Rafael Nadal,6-1 6-2 6-2,2004,m,Rafael Nadal,Michal Tabara,ESP,CZE,58%,48%,5,4,3,5,78%,62%,0.63,0.38,190,200,164,183,143,143,0.6,0,0.51,0.28,82,50,21,10,25,34,73%,42%
First,David Sanchez-Munoz,6-7(1) 7-6(5) 4-6 6-4 6-3,2004,m,David Sanchez-Munoz,Wesley Moodie,ESP,RSA,70%,69%,3,15,3,6,68%,71%,0.57,0.48,,,,,,,0.33,0.36,0.36,0.35,175,171,53,66,30,59,65%,57%
First,Joachim Johansson,6-4 7-6(3) 6-4,2004,m,Joachim Johansson,Alexander Popp,SWE,GER,71%,66%,17,12,5,4,83%,73%,0.65,0.56,,,,,,,0.29,0.5,0.33,0.22,105,91,48,29,17,16,65%,33%
First,Cyril Saulnier,7-6(7) 6-2 6-4,2004,m,Cyril Saulnier,Guillermo Coria,FRA,ARG,51%,68%,10,6,5,1,76%,63%,0.6,0.5,204,190,190,164,134,134,0.36,0.1,0.41,0.31,117,96,51,20,50,36,67%,67%
First,Karol Kucera,6-2 6-3 6-4,2004,m,Karol Kucera,Xavier Malisse,SVK,BEL,57%,48%,7,1,6,5,78%,72%,0.53,0.43,,,,,,,0.71,0.5,0.43,0.33,95,75,17,22,29,43,75%,50%
